Scientific_Name,Common_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species_Epithet,Habitat_Type,Diet,IUCN_Status,IUCN_Risk_Score,Is_Threatened,Conservation_Group,Primary_Biome,Depth_Min_m,Depth_Max_m,Observation_Count,Location_Count,Biome_Count,Mean_Observed_Depth_m,Median_Observed_Depth_m,Mean_Body_Length_cm,Median_Body_Length_cm,Mean_Body_Weight_kg,Median_Body_Weight_kg,Mean_Estimated_Age_yr,Mean_Water_Temp_C,Mean_Salinity_ppt,Mean_pH,First_Observation_Date,Last_Observation_Date,Fun_Fact
Psychrolutes marcidus,Blobfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Psychrolutidae,Psychrolutes,marcidus,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,600.0,1200.0,1980,3,1,900.5089,901.35,27.9204,28.1,1.8166,1.816,15.0134,3.5324,35.0565,7.942,2000-01-17,2024-08-16,Gelatinous at depth; collapses at surface pressure
Makaira nigricans,Blue Marlin,Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophoridae,Makaira,nigricans,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,1000.0,1980,5,1,504.7674,496.7,499.7318,497.75,814.2089,816.0525,13.4314,5.7899,34.994,7.9448,2000-01-06,2024-08-18,Upper jaw elongated into a rigid bill for slashing prey
Balaenoptera musculus,Blue Whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,musculus,Marine,Filter feeder,Endangered,5,1,Threatened,Ocean,0.0,500.0,1981,5,1,252.9554,253.9,2494.8622,2496.8,150464.2283,150255.101,45.1715,10.4057,35.0002,7.9554,2000-01-11,2024-08-20,Loudest animal on Earth — up to 188 dB
Thunnus thynnus,Bluefin Tuna,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,thynnus,Marine,Carnivore,Endangered,5,1,Threatened,Ocean,0.0,1000.0,1980,5,1,510.4141,508.35,380.4203,380.5,598.5504,598.502,17.6525,5.6906,35.0416,7.9454,2000-01-11,2024-08-15,Warm-blooded; keeps body 20°C above seawater
Tursiops truncatus,Bottlenose Dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Tursiops,truncatus,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,600.0,1981,5,1,303.6788,301.4,279.4788,280.3,401.393,401.986,20.224,8.7601,35.0274,7.9551,2000-01-02,2024-08-20,Uses signature whistles as individual names
Balaena mysticetus,Bowhead Whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,Balaena,mysticetus,Marine,Filter feeder,Least Concern,2,0,Least Concern,Arctic,0.0,500.0,1980,4,1,249.0139,245.75,1798.8516,1800.85,99539.3769,99552.8475,99.5704,2.6431,34.9696,7.9455,2000-01-15,2024-08-16,Longest-lived mammal — over 200 years
Chironex fleckeri,Box Jellyfish,Animalia,Cnidaria,Cubozoa,Cubomedusae,Chirodropidae,Chironex,fleckeri,Marine,Carnivore,Least Concern,2,0,Least Concern,Coast,0.0,30.0,1980,5,1,15.0155,15.15,24.9121,24.8,1.5146,1.5065,0.5066,23.9966,34.9639,7.9512,2000-01-05,2024-08-17,World's most venomous marine animal
Artemia salina,Brine Shrimp,Animalia,Arthropoda,Branchiopoda,Anostraca,Artemiidae,Artemia,salina,Marine/Hypersaline,Filter feeder,Least Concern,2,0,Least Concern,Salt Lake,0.0,5.0,1980,4,1,2.5802,2.6,1.2455,1.2,0.001,0.001,0.5039,24.0042,209.6956,7.94,2000-01-08,2024-08-14,Cysts can survive in outer space
Nautilus pompilius,Chambered Nautilus,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Nautilus,pompilius,Marine,Carnivore,Near Threatened,3,0,Near Threatened,Ocean,50.0,700.0,1980,5,1,375.3264,377.1,21.8737,21.8,0.149,0.15,10.1713,6.4447,34.9519,7.9406,2000-01-08,2024-08-19,Unchanged for 500 million years
Andrias davidianus,Chinese Giant Salamander,Animalia,Chordata,Amphibia,Urodela,Cryptobranchidae,Andrias,davidianus,Freshwater,Carnivore,Critically Endangered,6,1,Threatened,River,0.0,5.0,1981,6,1,2.5026,2.5,151.4566,151.6,50.1149,50.167,29.8521,21.0463,0.2466,7.2427,2000-01-06,2024-08-19,World's largest amphibian
Balistoides conspicillum,Clown Triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistoides,conspicillum,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,75.0,1980,6,1,37.1778,36.95,47.9446,47.6,1.783,1.796,5.0419,23.9812,35.011,7.9421,2000-01-01,2024-08-21,Locks itself in crevices using a spine trigger
Amphiprion ocellaris,Clownfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,ocellaris,Marine,Omnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,15.0,1981,6,1,8.2096,8.3,8.9844,9.0,0.1995,0.2,3.0281,23.97,34.9811,7.953,2000-01-03,2024-08-10,All individuals are born male
Latimeria chalumnae,Coelacanth,Animalia,Chordata,Actinopterygii,Coelacanthiformes,Latimeriidae,Latimeria,chalumnae,Marine,Carnivore,Critically Endangered,6,1,Threatened,Deep Ocean,100.0,700.0,1980,3,1,403.377,405.75,159.8505,159.05,80.1543,80.1915,30.5161,5.2389,35.0512,7.9599,2000-01-11,2024-08-13,Living fossil thought extinct for 65 million years
Rana temporaria,Common Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,Freshwater,Carnivore,Least Concern,2,0,Least Concern,Pond,0.0,2.0,1980,5,1,1.0028,1.0,7.9521,7.9,0.0401,0.04,5.023,21.1383,0.2474,7.2438,2000-01-02,2024-08-21,Can survive being partially frozen
Conus geographus,Cone Snail,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,geographus,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,0.0,50.0,1980,6,1,24.7112,24.75,12.9923,13.0,0.4007,0.399,10.189,23.9512,35.0088,7.9497,2000-01-01,2024-08-09,No antivenom; 30% human fatality rate
Stomias boa,Dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Stomias,boa,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,200.0,1500.0,1980,3,1,859.1589,862.25,30.0231,30.0,0.0913,0.091,5.0287,3.9793,34.9902,7.9553,2000-01-07,2024-08-15,Produces red bioluminescence only it can see
Dugong dugon,Dugong,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,dugon,Marine,Herbivore,Vulnerable,4,1,Threatened,Coast,0.0,30.0,1980,5,1,14.7826,14.8,359.746,360.6,379.4809,380.06,34.8879,23.9557,35.0079,7.9497,2000-01-06,2024-08-21,Likely the source of mermaid legends
Grimpoteuthis boylei,Dumbo Octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,boylei,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,1000.0,7000.0,1980,3,1,3961.5106,3971.4,24.9284,24.9,5.0353,5.0735,1.4926,3.4536,35.0045,7.9401,2000-01-08,2024-08-18,Deepest-known living octopus
Electrophorus electricus,Electric Eel,Animalia,Chordata,Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus,electricus,Freshwater,Carnivore,Least Concern,2,0,Least Concern,River,0.0,5.0,1981,6,1,2.4647,2.5,200.1952,200.4,15.0366,15.084,7.511,20.7832,0.2518,7.2622,2000-01-03,2024-08-21,Generates up to 860 volts
Anoplogaster cornuta,Fangtooth Fish,Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,Anoplogaster,cornuta,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,200.0,5000.0,1980,3,1,2585.539,2549.7,15.9944,16.0,0.0702,0.07,7.9558,3.9504,34.9754,7.9461,2000-01-01,2024-08-19,Largest teeth relative to body size of any fish
Millepora alcicornis,Fire Coral,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,alcicornis,Marine,Filter feeder,Near Threatened,3,0,Near Threatened,Coral Reef,0.0,40.0,1980,6,1,19.8476,19.7,50.3625,50.2,1.4995,1.5005,50.0273,23.9332,34.9672,7.9441,2000-01-30,2024-08-20,Not a true coral — a hydroid colony
Exocoetus volitans,Flying Fish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Exocoetus,volitans,Marine,Omnivore,Least Concern,2,0,Least Concern,Ocean,0.0,200.0,1980,5,1,100.9535,99.8,27.9657,27.9,0.4501,0.451,2.5171,24.0091,35.0034,7.9533,2000-01-02,2024-08-17,Can glide 400 m in a single 45-second leap
Chlamydoselachus anguineus,Frilled Shark,Animalia,Chordata,Chondrichthyes,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,anguineus,Marine,Carnivore,Near Threatened,3,0,Near Threatened,Deep Ocean,120.0,1500.0,1980,3,1,813.6927,810.65,179.1241,179.15,84.8859,84.873,12.4796,4.4324,35.0248,7.9442,2000-01-02,2024-08-21,Unchanged for 80 million years
Tridacna gigas,Giant Clam,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,gigas,Marine,Filter feeder,Vulnerable,4,1,Threatened,Coral Reef,0.0,20.0,1980,6,1,9.8177,9.9,99.2356,99.05,199.4174,200.501,50.8478,24.0936,35.0035,7.9471,2000-01-01,2024-08-18,World's largest bivalve
Gymnothorax javanicus,Giant Moray Eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,javanicus,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,50.0,1980,6,1,25.2208,25.4,279.6892,281.05,31.8304,31.682,14.9676,23.9884,35.0301,7.9535,2000-01-04,2024-08-20,Has secondary pharyngeal jaws that shoot forward
Enteroctopus dofleini,Giant Pacific Octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Enteroctopus,dofleini,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,750.0,1981,5,1,374.8261,378.8,298.8978,299.2,40.3495,40.429,2.5072,7.1058,34.9746,7.9535,2000-01-07,2024-08-16,Changes colour in 0.3 seconds
Architeuthis dux,Giant Squid,Animalia,Mollusca,Cephalopoda,Oegopsida,Architeuthidae,Architeuthis,dux,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,300.0,1000.0,1981,3,1,643.1775,644.5,796.6616,795.8,201.7596,202.257,2.4728,3.4855,35.0266,7.9605,2000-01-02,2024-08-14,Largest eyes in the animal kingdom
Mitsukurina owstoni,Goblin Shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Mitsukurinidae,Mitsukurina,owstoni,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,270.0,1300.0,1980,3,1,781.7981,786.55,551.785,550.6,198.5785,199.673,29.9639,3.5664,34.9794,7.957,2000-01-13,2024-08-18,Projects jaws forward like a slingshot
Carcharodon carcharias,Great White Shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,carcharias,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,1200.0,1981,5,1,607.8296,610.4,551.489,552.5,1488.9704,1497.204,35.0055,5.284,34.9816,7.946,2000-01-02,2024-08-16,Detects one drop of blood per 100 L of water
Chelonia mydas,Green Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Marine,Herbivore,Endangered,5,1,Threatened,Ocean,0.0,40.0,1981,5,1,20.4554,20.4,120.6446,121.0,249.1793,247.599,39.7762,24.112,34.9977,7.9464,2000-01-01,2024-08-13,"Named for green fat, not skin colour"
Epinephelus lanceolatus,Grouper (Giant),Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus,lanceolatus,Marine,Carnivore,Vulnerable,4,1,Threatened,Coral Reef,0.0,100.0,1980,6,1,51.1429,50.95,270.4592,269.7,401.0863,399.4495,19.7074,24.048,35.0132,7.953,2000-01-16,2024-08-17,World's largest bony reef fish — up to 400 kg
Myxine glutinosa,Hagfish,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Myxine,glutinosa,Marine,Scavenger,Least Concern,2,0,Least Concern,Deep Ocean,100.0,600.0,1980,3,1,346.901,347.05,55.0936,55.2,0.896,0.901,20.107,6.0968,35.0101,7.9439,2000-01-03,2024-08-09,Produces litres of suffocating slime to escape
Sphyrna lewini,Hammerhead Shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,lewini,Marine,Carnivore,Critically Endangered,6,1,Threatened,Ocean,0.0,500.0,1981,5,1,250.9464,250.4,350.9137,351.6,448.0892,448.065,15.1671,10.4551,35.0044,7.9443,2000-01-03,2024-08-21,360-degree vision due to wide-set eyes
Phoca vitulina,Harbor Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,vitulina,Marine,Carnivore,Least Concern,2,0,Least Concern,Coast,0.0,500.0,1980,5,1,247.5251,248.55,169.6956,170.3,124.5298,124.679,15.0091,10.9989,34.9975,7.9385,2000-01-01,2024-08-12,Can sleep underwater without waking
Cryptobranchus alleganiensis,Hellbender,Animalia,Chordata,Amphibia,Urodela,Cryptobranchidae,Cryptobranchus,alleganiensis,Freshwater,Carnivore,Near Threatened,3,0,Near Threatened,River,0.0,3.0,1980,6,1,1.4501,1.4,64.8849,64.6,1.9983,2.003,14.7989,20.9686,0.249,7.2567,2000-01-01,2024-08-14,Absorbs most oxygen through its skin
Limulus polyphemus,Horseshoe Crab,Animalia,Arthropoda,Merostomata,Xiphosura,Limulidae,Limulus,polyphemus,Marine,Omnivore,Vulnerable,4,1,Threatened,Coast,0.0,30.0,1980,5,1,15.0226,15.1,55.019,55.0,4.0057,3.9985,9.8685,23.9693,35.0219,7.953,2000-01-01,2024-08-18,Blue blood used to test vaccine safety
Megaptera novaeangliae,Humpback Whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,novaeangliae,Marine,Filter feeder,Least Concern,2,0,Least Concern,Ocean,0.0,200.0,1981,5,1,98.6678,99.3,1402.0911,1399.5,34822.9769,34962.231,39.9126,24.0762,35.0467,7.9539,2000-01-09,2024-08-15,Songs evolve and spread across ocean basins each year
Macrocheira kaempferi,Japanese Spider Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Macrocheira,kaempferi,Marine,Omnivore,Not Evaluated,0,0,Unassessed or uncertain,Deep Ocean,50.0,600.0,1980,3,1,319.7808,321.2,349.6735,349.8,18.0814,18.108,50.6539,7.5302,35.0678,7.945,2000-01-01,2024-08-16,Largest leg span of any arthropod — 5.5 m
Orcinus orca,Killer Whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcinus,orca,Marine,Carnivore,Data Deficient,1,0,Unassessed or uncertain,Ocean,0.0,300.0,1981,5,1,149.8524,150.0,704.5317,705.7,6991.468,7007.666,45.1306,18.6892,34.9946,7.9492,2000-01-01,2024-08-07,Distinct dialects passed from mother to calf
Euphausia superba,Krill,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Marine,Filter feeder,Least Concern,2,0,Least Concern,Ocean,0.0,2000.0,1980,5,1,992.4093,987.3,4.9766,5.0,0.001,0.001,3.0399,4.4863,35.0141,7.9506,2000-01-14,2024-08-21,Antarctic krill biomass exceeds that of all humans
Petromyzon marinus,Lamprey,Animalia,Chordata,Petromyzontida,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus,Freshwater/Marine,Parasite,Least Concern,2,0,Least Concern,River/Ocean,0.0,30.0,1980,3,1,14.9965,14.8,110.1088,109.9,1.9997,2.001,10.0042,20.7494,0.2502,7.9467,2000-01-10,2024-08-21,Jawless fish lineage — 360 million years old
Phycodurus eques,Leafy Sea Dragon,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Phycodurus,eques,Marine,Carnivore,Least Concern,2,0,Least Concern,Coast,0.0,50.0,1980,5,1,25.4447,25.5,29.8482,29.9,0.0398,0.04,5.0192,23.8793,34.9871,7.9492,2000-01-04,2024-08-19,Leaf appendages are camouflage only
Dermochelys coriacea,Leatherback Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,1280.0,1980,5,1,638.5313,633.6,248.9031,249.75,847.5656,845.861,25.1125,5.0794,34.9885,7.9376,2000-01-03,2024-08-16,"Deepest-diving turtle — up to 1,280 m"
Homarus americanus,Lobster,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean Floor,0.0,700.0,1980,5,1,349.7357,352.15,100.8373,101.35,18.3038,18.3255,50.2689,7.5691,35.0028,7.9573,2000-01-01,2024-08-18,May be biologically immortal — no senescence
Caretta caretta,Loggerhead Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,caretta,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,100.0,1980,5,1,50.7163,51.4,199.2852,199.45,450.6955,449.5915,24.8411,24.0295,35.011,7.9477,2000-01-09,2024-08-03,Named for its large head and powerful crushing jaws
Protopterus aethiopicus,Lungfish,Animalia,Chordata,Actinopterygii,Ceratodontiformes,Protopteridae,Protopterus,aethiopicus,Freshwater,Carnivore,Least Concern,2,0,Least Concern,Swamp,0.0,5.0,1980,4,1,2.5064,2.5,180.3239,179.15,15.0691,15.0805,12.5544,20.9145,0.2491,7.2651,2000-01-01,2024-08-19,Survives 4-year droughts in a mucous cocoon
Coryphaena hippurus,Mahi-Mahi,Animalia,Chordata,Actinopterygii,Coryphaeniformes,Coryphaenidae,Coryphaena,hippurus,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,280.0,1980,5,1,142.1196,142.75,209.9217,210.4,39.8903,39.7615,2.4774,19.7294,35.019,7.9616,2000-01-04,2024-08-21,One of the fastest-growing fish — reaches adulthood in 1 year
Trichechus manatus,Manatee,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,Freshwater/Marine,Herbivore,Vulnerable,4,1,Threatened,Coastal,0.0,7.0,1981,5,1,3.4981,3.5,348.9233,349.4,498.5695,498.67,29.6788,21.1493,0.2457,7.9461,2000-01-08,2024-08-18,Closest relative is the elephant
Synchiropus splendidus,Mandarin Dragonet,Animalia,Chordata,Actinopterygii,Callionymiformes,Callionymidae,Synchiropus,splendidus,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,18.0,1980,6,1,9.5281,9.5,6.0095,6.0,0.0181,0.018,2.5179,23.9672,34.9803,7.937,2000-01-01,2024-08-15,Only vertebrate with structural blue pigment
Mobula birostris,Manta Ray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,birostris,Marine,Filter feeder,Vulnerable,4,1,Threatened,Ocean,0.0,1000.0,1981,5,1,514.5574,517.1,501.4739,499.9,2008.7077,2012.812,20.0005,5.7128,35.0349,7.9545,2000-01-01,2024-08-19,Largest brain-to-body ratio of any fish
Odontodactylus scyllarus,Mantis Shrimp,Animalia,Arthropoda,Malacostraca,Stomatopoda,Odontodactylidae,Odontodactylus,scyllarus,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,3.0,40.0,1980,6,1,21.5489,21.4,30.0962,30.0,0.401,0.404,2.9922,24.043,34.9869,7.9453,2000-01-01,2024-08-20,Sees 16 types of colour; humans see 3
Amblyrhynchus cristatus,Marine Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Amblyrhynchus,cristatus,Marine,Herbivore,Vulnerable,4,1,Threatened,Galapagos,0.0,30.0,1980,1,1,15.1282,15.2,60.3205,60.3,1.2979,1.296,6.051,24.0889,35.0253,7.9431,2000-01-01,2024-08-18,Only lizard on Earth that forages in the sea
Periophthalmus barbarus,Mudskipper,Animalia,Chordata,Actinopterygii,Gobiiformes,Oxudercidae,Periophthalmus,barbarus,Brackish,Omnivore,Least Concern,2,0,Least Concern,Mangrove,0.0,1.0,1980,4,1,0.4991,0.5,23.0564,22.9,0.2799,0.281,2.5299,23.9439,17.5273,7.2551,2000-01-01,2024-08-16,Can breathe through moist skin and walk on mud
Monodon monoceros,Narwhal,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,Monodon,monoceros,Marine,Carnivore,Least Concern,2,0,Least Concern,Arctic,0.0,1500.0,1981,4,1,758.2311,768.3,500.7889,501.6,1403.4861,1405.3,25.0293,3.3089,34.9685,7.9486,2000-01-07,2024-08-19,Its spiral tusk is actually a sensory tooth
Crocodylus niloticus,Nile Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,niloticus,Freshwater,Carnivore,Least Concern,2,0,Least Concern,River,0.0,5.0,1980,6,1,2.4926,2.5,558.3096,559.45,699.7926,703.343,34.8673,20.9639,0.2525,7.2598,2000-01-08,2024-08-19,Responsible for ~200 human attacks per year
Oreochromis niloticus,Nile Tilapia,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,Freshwater,Herbivore,Least Concern,2,0,Least Concern,Lake/River,0.0,10.0,1981,4,1,4.9823,5.0,39.8227,39.8,2.0079,2.007,4.533,20.8538,0.2469,7.2527,2000-01-03,2024-08-05,World's most farmed fish
Regalecus glesne,Oarfish,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,Regalecus,glesne,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,200.0,1000.0,1980,3,1,605.4926,612.4,898.6371,899.5,252.3929,253.7475,15.193,3.9711,34.9893,7.9433,2000-01-02,2024-08-21,World's longest bony fish — up to 11 m
Mola mola,Ocean Sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,mola,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,640.0,1980,5,1,318.9249,317.6,249.3799,249.8,1790.9132,1795.412,10.0707,8.3215,34.9871,7.9475,2000-01-04,2024-08-12,"Heaviest bony fish at up to 2,300 kg"
