Record_ID,Common_Name,Scientific_Name,Habitat_Type,IUCN_Status,Location,Latitude,Longitude,Biome,Obs_Depth_m,Water_Temp_C,Observation_Year
177,Sperm Whale,Physeter macrocephalus,Marine,Vulnerable,Atlantic Ocean,40.2129,-142.5106,Ocean,415.1,2.1,2000
185,Loggerhead Sea Turtle,Caretta caretta,Marine,Vulnerable,Arctic Ocean,11.1587,-55.4686,Ocean,54.5,21.8,2001
193,Wahoo,Acanthocybium solandri,Marine,Least Concern,Indian Ocean,53.6245,-37.4506,Ocean,245.4,5.6,2009
201,Fangtooth Fish,Anoplogaster cornuta,Marine,Least Concern,Indian Ocean,34.6137,59.3946,Deep Ocean,3217.2,2.3,2006
209,Seahorse,Hippocampus kuda,Marine,Vulnerable,Maldives,-27.2611,-129.5913,Coral Reef,9.9,21.3,2007
217,Hammerhead Shark,Sphyrna lewini,Marine,Critically Endangered,Atlantic Ocean,-82.127,-135.7188,Ocean,36.2,24.7,2015
225,Ocean Sunfish,Mola mola,Marine,Vulnerable,Arctic Ocean,-43.3197,-109.9354,Ocean,422.7,1.3,2023
233,Swordfish,Xiphias gladius,Marine,Least Concern,Indian Ocean,-29.9867,83.8984,Ocean,800.0,3.6,2020
241,Lobster,Homarus americanus,Marine,Least Concern,Pacific Ocean,71.2308,29.9759,Ocean Floor,448.6,3.3,2016
249,Blobfish,Psychrolutes marcidus,Marine,Least Concern,Indian Ocean,3.7125,34.2474,Deep Ocean,865.5,1.0,2008
257,Hagfish,Myxine glutinosa,Marine,Least Concern,Atlantic Ocean,7.3049,131.0262,Deep Ocean,385.5,3.4,2021
265,Beluga Sturgeon,Huso huso,Freshwater/Marine,Critically Endangered,Caspian Sea,42.145,39.9262,River/Sea,118.9,15.7,2001
273,Flying Fish,Exocoetus volitans,Marine,Least Concern,Indian Ocean,-61.6813,-137.2052,Ocean,89.5,27.2,2011
281,Mandarin Dragonet,Synchiropus splendidus,Marine,Least Concern,Maldives,-13.888,-76.5138,Coral Reef,1.6,25.9,2004
289,Clown Triggerfish,Balistoides conspicillum,Marine,Least Concern,Great Barrier Reef,0.8167,-88.7914,Coral Reef,2.4,29.9,2018
297,Grouper (Giant),Epinephelus lanceolatus,Marine,Vulnerable,Caribbean Sea,-4.2235,86.6254,Coral Reef,91.5,28.4,2013
305,Blue Whale,Balaenoptera musculus,Marine,Endangered,Arctic Ocean,41.2623,39.0272,Ocean,349.1,4.5,2007
313,Bottlenose Dolphin,Tursiops truncatus,Marine,Least Concern,Indian Ocean,-15.2566,139.8471,Ocean,238.0,5.1,2010
321,Sea Otter,Enhydra lutris,Marine,Endangered,California Coast,41.0213,50.0516,Coast,18.0,29.4,2007
329,Horseshoe Crab,Limulus polyphemus,Marine,Vulnerable,Bay of Bengal,34.0108,176.2024,Coast,19.1,28.7,2014
337,Amazon River Dolphin,Inia geoffrensis,Freshwater,Endangered,Amazon River,38.6604,-163.6371,River,27.4,23.6,2007
345,Dumbo Octopus,Grimpoteuthis boylei,Marine,Least Concern,Indian Ocean,-38.7369,-74.064,Deep Ocean,5274.4,1.6,2003
353,Stonefish,Synanceia verrucosa,Marine,Least Concern,Maldives,18.3429,-61.8554,Coral Reef,14.2,20.5,2001
361,Puffer Fish,Arothron stellatus,Marine,Least Concern,Great Barrier Reef,11.8017,-63.2355,Coral Reef,31.8,20.8,2021
369,Leatherback Sea Turtle,Dermochelys coriacea,Marine,Vulnerable,Southern Ocean,58.9242,30.5419,Ocean,304.7,2.7,2005
377,Dragonfish,Stomias boa,Marine,Least Concern,Atlantic Ocean,41.0419,-6.2231,Deep Ocean,330.2,4.9,2003
385,Pacific Viperfish,Chauliodus macouni,Marine,Least Concern,Pacific Ocean,20.8442,96.2996,Deep Ocean,2842.6,2.5,2014
393,Albacore Tuna,Thunnus alalunga,Marine,Near Threatened,Indian Ocean,5.3947,64.2211,Ocean,281.7,4.0,2003
401,Surgeonfish (Blue Tang),Acanthurus coeruleus,Marine,Least Concern,Maldives,7.5198,-175.5572,Coral Reef,18.5,19.7,2022
409,Nile Tilapia,Oreochromis niloticus,Freshwater,Least Concern,Lake Victoria,-3.8904,71.9612,Lake/River,2.2,29.9,2012
417,Giant Pacific Octopus,Enteroctopus dofleini,Marine,Least Concern,Atlantic Ocean,-87.3704,-50.2648,Ocean,547.7,4.0,2017
425,Axolotl,Ambystoma mexicanum,Freshwater,Critically Endangered,Arctic Ocean,24.9031,-69.4276,Lake,0.8,27.5,2011
433,Piranha,Pygocentrus nattereri,Freshwater,Least Concern,Amazon River,8.7482,-137.1094,River,2.5,21.2,2004
441,Vampire Squid,Vampyroteuthis infernalis,Marine,Least Concern,Indian Ocean,-14.7535,-38.4046,Deep Ocean,737.5,3.7,2022
449,Sailfish,Istiophorus platypterus,Marine,Least Concern,Southern Ocean,17.8871,-107.545,Ocean,21.8,28.7,2019
457,Alligator Gar,Atractosteus spatula,Freshwater,Least Concern,Amazon River,0.6004,133.0739,River,0.0,13.6,2018
465,Harbor Seal,Phoca vitulina,Marine,Least Concern,Gulf of Mexico,-3.3747,105.0968,Coast,340.4,3.0,2016
473,Cone Snail,Conus geographus,Marine,Least Concern,Maldives,3.925,-172.4367,Coral Reef,21.1,18.4,2002
481,Bowhead Whale,Balaena mysticetus,Marine,Least Concern,Arctic Ocean,76.4222,-8.961,Arctic,328.0,2.9,2019
489,Fire Coral,Millepora alcicornis,Marine,Near Threatened,Caribbean Sea,4.2512,147.4543,Coral Reef,13.6,18.1,2022
497,Mahi-Mahi,Coryphaena hippurus,Marine,Least Concern,Atlantic Ocean,50.2857,8.0989,Ocean,169.3,25.7,2004
505,African Clawed Frog,Xenopus laevis,Freshwater,Least Concern,Arctic Ocean,-43.5406,-12.9652,Pond,0.0,14.4,2022
513,Manta Ray,Mobula birostris,Marine,Vulnerable,Indian Ocean,-26.0489,65.7042,Ocean,565.8,4.3,2011
521,Humpback Whale,Megaptera novaeangliae,Marine,Least Concern,Pacific Ocean,74.6703,-103.7828,Ocean,56.9,19.7,2005
529,Mantis Shrimp,Odontodactylus scyllarus,Marine,Least Concern,Great Barrier Reef,-21.2342,116.2813,Coral Reef,11.7,20.8,2011
537,Beluga Whale,Delphinapterus leucas,Marine,Least Concern,Arctic Ocean,79.7108,-104.1253,Arctic,826.8,2.2,2014
545,Krill,Euphausia superba,Marine,Least Concern,Arctic Ocean,-84.3277,-136.2221,Ocean,1146.7,4.2,2003
553,Goblin Shark,Mitsukurina owstoni,Marine,Least Concern,Pacific Ocean,-44.7467,-26.0849,Deep Ocean,986.9,1.8,2023
561,Lamprey,Petromyzon marinus,Freshwater/Marine,Least Concern,Baltic Sea,63.4865,131.506,River/Ocean,2.9,22.9,2002
569,Common Frog,Rana temporaria,Freshwater,Least Concern,Southern Ocean,-81.4995,-116.4817,Pond,0.0,29.2,2017
577,Mudskipper,Periophthalmus barbarus,Brackish,Least Concern,Sundarbans,1.5568,124.704,Mangrove,0.0,22.3,2004
585,Remora,Remora remora,Marine,Least Concern,Arctic Ocean,-30.6845,-21.3829,Ocean,176.9,28.3,2009
593,Seahorse (Lined),Hippocampus erectus,Marine,Vulnerable,Florida Bay,36.0403,-39.5729,Sea Grass,26.7,23.1,2002
601,Parrotfish,Scarus gibbus,Marine,Least Concern,Great Barrier Reef,-13.759,-46.6231,Coral Reef,23.9,24.8,2003
609,Clownfish,Amphiprion ocellaris,Marine,Least Concern,Caribbean Sea,-25.6293,155.7503,Coral Reef,6.0,22.7,2014
617,Saltwater Crocodile,Crocodylus porosus,Brackish/Marine,Least Concern,Ganges Delta,24.1103,94.711,Estuary,3.8,27.0,2006
625,Manatee,Trichechus manatus,Freshwater/Marine,Vulnerable,Arctic Ocean,-70.9035,61.3608,Coastal,4.8,17.2,2007
633,Coelacanth,Latimeria chalumnae,Marine,Critically Endangered,Indian Ocean,37.4616,131.7683,Deep Ocean,517.8,1.9,2018
641,Dugong,Dugong dugon,Marine,Vulnerable,California Coast,-31.3227,119.2485,Coast,12.9,27.2,2004
649,Japanese Spider Crab,Macrocheira kaempferi,Marine,Not Evaluated,Pacific Ocean,2.8986,-78.1198,Deep Ocean,69.3,18.5,2019
657,Archerfish,Toxotes jaculatrix,Brackish/Freshwater,Least Concern,Sundarbans,23.2099,90.2678,Mangrove,0.0,25.5,2014
665,Barracuda,Sphyraena barracuda,Marine,Least Concern,Arctic Ocean,44.0758,-151.3246,Ocean,75.9,18.6,2012
673,Marine Iguana,Amblyrhynchus cristatus,Marine,Vulnerable,Galápagos Islands,-1.8312,-90.5111,Galapagos,30.0,24.5,2011
681,Giant Moray Eel,Gymnothorax javanicus,Marine,Least Concern,Caribbean Sea,19.0539,123.462,Coral Reef,12.6,24.2,2011
689,Nile Crocodile,Crocodylus niloticus,Freshwater,Least Concern,Mississippi River,40.5536,-63.1408,River,0.0,25.0,2002
697,Blue Marlin,Makaira nigricans,Marine,Vulnerable,Atlantic Ocean,18.452,-73.5038,Ocean,609.4,5.4,2010
705,Wobbegong,Orectolobus maculatus,Marine,Least Concern,Gulf of Mexico,-3.8075,124.125,Coast,100.8,28.8,2023
713,Electric Eel,Electrophorus electricus,Freshwater,Least Concern,Mississippi River,53.1797,-171.2192,River,0.0,22.5,2011
721,Giant Squid,Architeuthis dux,Marine,Least Concern,Pacific Ocean,-58.9858,122.1149,Deep Ocean,390.3,1.2,2014
729,Whale Shark,Rhincodon typus,Marine,Endangered,Southern Ocean,58.7617,148.9554,Ocean,346.5,5.4,2022
737,Leafy Sea Dragon,Phycodurus eques,Marine,Least Concern,North Sea,-44.7243,-15.502,Coast,15.1,29.3,2015
745,Chambered Nautilus,Nautilus pompilius,Marine,Near Threatened,Arctic Ocean,84.7628,-45.502,Ocean,315.2,4.4,2000
753,Oarfish,Regalecus glesne,Marine,Least Concern,Indian Ocean,36.5166,-121.2787,Deep Ocean,436.4,2.2,2018
761,Lungfish,Protopterus aethiopicus,Freshwater,Least Concern,Okavango Delta,-17.3444,-5.8469,Swamp,1.3,24.7,2014
769,Southern Elephant Seal,Mirounga leonina,Marine,Least Concern,Southern Ocean,-75.5041,25.8584,Sub-Antarctic,324.2,2.3,2001
777,Pistol Shrimp,Alpheus heterochaelis,Marine,Least Concern,Caribbean Sea,-18.8684,54.6047,Coral Reef,31.4,26.6,2015
785,Ribbon Eel,Rhinomuraena quaesita,Marine,Least Concern,Maldives,24.4346,86.5127,Coral Reef,42.6,24.5,2015
793,Sea Angel,Clione limacina,Marine,Least Concern,Arctic Ocean,76.4874,-54.0539,Arctic,174.7,1.8,2000
801,Wrasse (Napoleon),Cheilinus undulatus,Marine,Endangered,Caribbean Sea,-10.8287,-121.1202,Coral Reef,74.3,23.2,2011
809,Great White Shark,Carcharodon carcharias,Marine,Vulnerable,Southern Ocean,58.3524,80.4994,Ocean,127.8,28.0,2022
817,Killer Whale,Orcinus orca,Marine,Data Deficient,Atlantic Ocean,49.2253,135.0436,Ocean,96.5,18.3,2019
825,Narwhal,Monodon monoceros,Marine,Least Concern,Arctic Ocean,89.4018,-87.5406,Arctic,434.0,3.3,2005
833,Giant Clam,Tridacna gigas,Marine,Vulnerable,Maldives,27.7057,-30.317,Coral Reef,20.0,25.2,2023
841,Walrus,Odobenus rosmarus,Marine,Vulnerable,Arctic Ocean,84.9046,-178.6436,Arctic,36.0,1.8,2019
849,Box Jellyfish,Chironex fleckeri,Marine,Least Concern,Bay of Bengal,6.5074,161.5338,Coast,15.6,28.8,2000
857,Frilled Shark,Chlamydoselachus anguineus,Marine,Near Threatened,Atlantic Ocean,-10.8662,135.473,Deep Ocean,1296.9,2.5,2021
865,Barreleye Fish,Macropinna microstoma,Marine,Least Concern,Pacific Ocean,-16.7829,-12.5873,Deep Ocean,706.2,4.4,2019
873,Hellbender,Cryptobranchus alleganiensis,Freshwater,Near Threatened,Yangtze River,-23.4955,68.6524,River,3.0,21.6,2024
881,Spotted Eagle Ray,Aetobatus narinari,Marine,Vulnerable,Pacific Ocean,31.0073,101.6625,Ocean,0.0,24.4,2012
889,Yellowfin Tuna,Thunnus albacares,Marine,Near Threatened,Southern Ocean,50.9282,88.6518,Ocean,359.2,4.0,2015
897,Tuna (Bigeye),Thunnus obesus,Marine,Vulnerable,Atlantic Ocean,-4.3733,13.1844,Ocean,193.8,27.3,2003
905,Triggerfish (Titan),Balistoides viridescens,Marine,Least Concern,Maldives,22.1944,37.7787,Coral Reef,12.3,25.4,2006
913,Atlantic Salmon,Salmo salar,Freshwater/Marine,Least Concern,North Atlantic,49.5957,-168.4205,River/Ocean,91.4,23.2,2000
921,Green Sea Turtle,Chelonia mydas,Marine,Endangered,Pacific Ocean,-46.5828,-119.4692,Ocean,15.5,29.7,2004
929,Chinese Giant Salamander,Andrias davidianus,Freshwater,Critically Endangered,Mississippi River,3.8364,50.4176,River,4.6,20.9,2017
937,Anglerfish,Melanocetus johnsonii,Marine,Least Concern,Pacific Ocean,-8.3494,-32.5733,Deep Ocean,2000.0,2.9,2003
945,Sea Cucumber,Holothuria scabra,Marine,Least Concern,Arctic Ocean,55.454,-135.1781,Ocean Floor,34.5,29.6,2015
953,Bluefin Tuna,Thunnus thynnus,Marine,Endangered,Indian Ocean,41.2024,162.8969,Ocean,905.6,5.2,2013
961,Arapaima,Arapaima gigas,Freshwater,Data Deficient,Amazon River,20.6389,-7.5453,River,0.0,13.9,2018
969,Rainbow Trout,Oncorhynchus mykiss,Freshwater,Least Concern,Yangtze River,25.3294,144.9994,River,2.1,29.3,2014
977,Brine Shrimp,Artemia salina,Marine/Hypersaline,Least Concern,Great Salt Lake,10.4462,-76.3814,Salt Lake,0.0,26.1,2008
985,Sperm Whale,Physeter macrocephalus,Marine,Vulnerable,Arctic Ocean,80.4905,34.2721,Ocean,2243.2,4.3,2015
993,Loggerhead Sea Turtle,Caretta caretta,Marine,Vulnerable,Indian Ocean,57.4615,-151.2383,Ocean,100.0,28.3,2023
1001,Wahoo,Acanthocybium solandri,Marine,Least Concern,Pacific Ocean,-61.4236,152.1653,Ocean,108.2,18.0,2005
1009,Fangtooth Fish,Anoplogaster cornuta,Marine,Least Concern,Pacific Ocean,-49.3229,130.0498,Deep Ocean,3908.0,5.1,2014
1017,Seahorse,Hippocampus kuda,Marine,Vulnerable,Caribbean Sea,29.1585,96.1245,Coral Reef,7.7,29.3,2023
1025,Hammerhead Shark,Sphyrna lewini,Marine,Critically Endangered,Arctic Ocean,36.4729,159.3979,Ocean,276.2,2.3,2022
1033,Ocean Sunfish,Mola mola,Marine,Vulnerable,Indian Ocean,42.6035,-72.9656,Ocean,161.7,18.7,2014
1041,Swordfish,Xiphias gladius,Marine,Least Concern,Pacific Ocean,24.1432,-134.3802,Ocean,88.4,26.8,2001
1049,Lobster,Homarus americanus,Marine,Least Concern,Southern Ocean,40.6991,-66.7884,Ocean Floor,658.2,5.1,2022
1057,Blobfish,Psychrolutes marcidus,Marine,Least Concern,Pacific Ocean,-37.4224,139.6832,Deep Ocean,713.6,5.0,2000
1065,Hagfish,Myxine glutinosa,Marine,Least Concern,Indian Ocean,4.6196,141.0498,Deep Ocean,328.9,5.6,2024
1073,Beluga Sturgeon,Huso huso,Freshwater/Marine,Critically Endangered,Black Sea,48.0147,34.9794,River/Sea,152.0,13.5,2017
1081,Flying Fish,Exocoetus volitans,Marine,Least Concern,Pacific Ocean,-68.3995,11.5098,Ocean,70.9,22.3,2000
1089,Mandarin Dragonet,Synchiropus splendidus,Marine,Least Concern,Caribbean Sea,-28.8161,-137.6808,Coral Reef,5.1,28.1,2015
1097,Clown Triggerfish,Balistoides conspicillum,Marine,Least Concern,Maldives,18.5076,-122.4213,Coral Reef,28.6,21.3,2019
1105,Grouper (Giant),Epinephelus lanceolatus,Marine,Vulnerable,Great Barrier Reef,-27.8637,109.6317,Coral Reef,61.6,25.4,2004
1113,Blue Whale,Balaenoptera musculus,Marine,Endangered,Indian Ocean,51.2594,-5.2215,Ocean,212.4,2.7,2019
1121,Bottlenose Dolphin,Tursiops truncatus,Marine,Least Concern,Pacific Ocean,-33.5017,66.3155,Ocean,417.0,2.1,2002
1129,Sea Otter,Enhydra lutris,Marine,Endangered,Bay of Bengal,-23.1203,179.5315,Coast,28.3,18.9,2005
1137,Horseshoe Crab,Limulus polyphemus,Marine,Vulnerable,North Sea,-40.6036,43.5867,Coast,0.0,29.0,2008
1145,Amazon River Dolphin,Inia geoffrensis,Freshwater,Endangered,Mississippi River,4.9061,-143.6125,River,0.4,26.4,2003
1153,Dumbo Octopus,Grimpoteuthis boylei,Marine,Least Concern,Pacific Ocean,45.1239,-23.3673,Deep Ocean,1520.7,3.7,2002
1161,Stonefish,Synanceia verrucosa,Marine,Least Concern,Caribbean Sea,-7.6862,-169.8174,Coral Reef,12.1,19.6,2009
1169,Puffer Fish,Arothron stellatus,Marine,Least Concern,Maldives,27.4078,-124.614,Coral Reef,5.0,23.7,2006
1177,Leatherback Sea Turtle,Dermochelys coriacea,Marine,Vulnerable,Atlantic Ocean,68.6655,104.8011,Ocean,175.8,24.6,2021
1185,Dragonfish,Stomias boa,Marine,Least Concern,Indian Ocean,44.0248,163.1853,Deep Ocean,200.0,26.1,2021
1193,Pacific Viperfish,Chauliodus macouni,Marine,Least Concern,Atlantic Ocean,9.815,7.9465,Deep Ocean,2234.2,2.7,2010
1201,Albacore Tuna,Thunnus alalunga,Marine,Near Threatened,Pacific Ocean,7.5366,-100.8866,Ocean,255.0,4.3,2019
1209,Surgeonfish (Blue Tang),Acanthurus coeruleus,Marine,Least Concern,Caribbean Sea,-26.2545,54.8446,Coral Reef,17.6,28.9,2014
1217,Nile Tilapia,Oreochromis niloticus,Freshwater,Least Concern,Lake Victoria,-10.1142,21.7565,Lake/River,6.2,23.1,2019
1225,Giant Pacific Octopus,Enteroctopus dofleini,Marine,Least Concern,Arctic Ocean,-56.0889,102.4236,Ocean,326.7,4.0,2014
1233,Axolotl,Ambystoma mexicanum,Freshwater,Critically Endangered,Indian Ocean,-81.9522,-83.5168,Lake,1.8,13.0,2020
1241,Piranha,Pygocentrus nattereri,Freshwater,Least Concern,Mississippi River,-17.078,57.9697,River,3.0,23.9,2020
1249,Vampire Squid,Vampyroteuthis infernalis,Marine,Least Concern,Pacific Ocean,-49.8396,-12.7662,Deep Ocean,771.4,4.7,2001
1257,Sailfish,Istiophorus platypterus,Marine,Least Concern,Atlantic Ocean,-44.2346,-86.7606,Ocean,194.3,23.9,2012
1265,Alligator Gar,Atractosteus spatula,Freshwater,Least Concern,Mississippi River,17.0051,5.8783,River,3.0,24.4,2021
1273,Harbor Seal,Phoca vitulina,Marine,Least Concern,Mediterranean Sea,-7.5662,149.6489,Coast,91.2,24.0,2018
1281,Cone Snail,Conus geographus,Marine,Least Concern,Caribbean Sea,-7.0162,46.8945,Coral Reef,29.0,23.3,2013
1289,Bowhead Whale,Balaena mysticetus,Marine,Least Concern,Arctic Ocean,73.3143,160.16,Arctic,121.0,-1.9,2018
1297,Fire Coral,Millepora alcicornis,Marine,Near Threatened,Great Barrier Reef,-20.9,-150.4912,Coral Reef,34.3,23.2,2023
1305,Mahi-Mahi,Coryphaena hippurus,Marine,Least Concern,Arctic Ocean,-24.5015,-133.5253,Ocean,117.2,23.5,2022
1313,African Clawed Frog,Xenopus laevis,Freshwater,Least Concern,Indian Ocean,-28.7429,-63.8787,Pond,2.0,19.6,2002
1321,Manta Ray,Mobula birostris,Marine,Vulnerable,Pacific Ocean,49.1322,49.7194,Ocean,382.5,3.9,2024
1329,Humpback Whale,Megaptera novaeangliae,Marine,Least Concern,Southern Ocean,-44.6373,-42.7868,Ocean,160.4,27.3,2022
1337,Mantis Shrimp,Odontodactylus scyllarus,Marine,Least Concern,Maldives,10.1153,-40.2128,Coral Reef,40.0,21.1,2023
1345,Beluga Whale,Delphinapterus leucas,Marine,Least Concern,Arctic Ocean,67.1832,153.3893,Arctic,787.0,3.3,2004
1353,Krill,Euphausia superba,Marine,Least Concern,Indian Ocean,-28.0491,-78.6435,Ocean,886.3,1.4,2007
1361,Goblin Shark,Mitsukurina owstoni,Marine,Least Concern,Atlantic Ocean,-29.9521,139.8065,Deep Ocean,1078.1,4.8,2010
1369,Lamprey,Petromyzon marinus,Freshwater/Marine,Least Concern,North Atlantic,53.2069,-110.5156,River/Ocean,24.3,26.4,2012
1377,Common Frog,Rana temporaria,Freshwater,Least Concern,Atlantic Ocean,-4.4351,90.3686,Pond,2.0,18.8,2009
1385,Mudskipper,Periophthalmus barbarus,Brackish,Least Concern,Sundarbans,-8.2404,134.8602,Mangrove,1.0,24.8,2024
1393,Remora,Remora remora,Marine,Least Concern,Indian Ocean,-40.9198,-178.7836,Ocean,58.8,26.6,2015
1401,Seahorse (Lined),Hippocampus erectus,Marine,Vulnerable,Florida Bay,23.2928,42.9639,Sea Grass,33.5,23.3,2022
1409,Parrotfish,Scarus gibbus,Marine,Least Concern,Maldives,20.66,95.7068,Coral Reef,5.8,22.5,2015
1417,Clownfish,Amphiprion ocellaris,Marine,Least Concern,Great Barrier Reef,12.5015,57.7391,Coral Reef,5.9,19.4,2007
1425,Saltwater Crocodile,Crocodylus porosus,Brackish/Marine,Least Concern,Ganges Delta,-1.2775,139.182,Estuary,0.0,21.6,2008
1433,Manatee,Trichechus manatus,Freshwater/Marine,Vulnerable,Indian Ocean,71.3502,-18.5702,Coastal,5.7,23.8,2021
1441,Coelacanth,Latimeria chalumnae,Marine,Critically Endangered,Pacific Ocean,-24.1931,-165.1017,Deep Ocean,370.3,1.2,2020
1449,Dugong,Dugong dugon,Marine,Vulnerable,Bay of Bengal,-17.3121,139.8109,Coast,11.6,18.3,2015
1457,Japanese Spider Crab,Macrocheira kaempferi,Marine,Not Evaluated,Atlantic Ocean,37.0822,1.9207,Deep Ocean,592.2,4.5,2015
1465,Archerfish,Toxotes jaculatrix,Brackish/Freshwater,Least Concern,Sundarbans,9.3294,97.3538,Mangrove,3.0,20.5,2006
1473,Barracuda,Sphyraena barracuda,Marine,Least Concern,Indian Ocean,-27.244,30.1465,Ocean,54.9,28.4,2024
1481,Marine Iguana,Amblyrhynchus cristatus,Marine,Vulnerable,Galápagos Islands,0.532,-89.5889,Galapagos,17.3,29.8,2012
1489,Giant Moray Eel,Gymnothorax javanicus,Marine,Least Concern,Great Barrier Reef,-4.786,-148.2183,Coral Reef,27.1,20.4,2007
1497,Nile Crocodile,Crocodylus niloticus,Freshwater,Least Concern,Yangtze River,6.0293,-150.2141,River,4.2,25.8,2001
1505,Blue Marlin,Makaira nigricans,Marine,Vulnerable,Arctic Ocean,-76.5696,-34.9576,Ocean,598.8,1.0,2019
1513,Wobbegong,Orectolobus maculatus,Marine,Least Concern,Mediterranean Sea,-42.3899,-54.5417,Coast,48.9,27.9,2023
1521,Electric Eel,Electrophorus electricus,Freshwater,Least Concern,Yangtze River,32.2868,124.5354,River,2.3,18.4,2000
1529,Giant Squid,Architeuthis dux,Marine,Least Concern,Atlantic Ocean,30.8438,6.5991,Deep Ocean,765.8,4.2,2001
1537,Whale Shark,Rhincodon typus,Marine,Endangered,Atlantic Ocean,15.2008,38.3492,Ocean,1061.8,4.1,2001
1545,Leafy Sea Dragon,Phycodurus eques,Marine,Least Concern,Gulf of Mexico,-28.6821,45.0081,Coast,36.1,27.7,2013
1553,Chambered Nautilus,Nautilus pompilius,Marine,Near Threatened,Indian Ocean,-89.9238,-156.1136,Ocean,457.5,1.2,2003
1561,Oarfish,Regalecus glesne,Marine,Least Concern,Pacific Ocean,-42.3238,2.0756,Deep Ocean,841.0,3.3,2012
1569,Lungfish,Protopterus aethiopicus,Freshwater,Least Concern,Okavango Delta,-17.0513,-43.407,Swamp,4.5,26.0,2019
1577,Southern Elephant Seal,Mirounga leonina,Marine,Least Concern,Southern Ocean,-54.021,160.1052,Sub-Antarctic,430.6,4.3,2003
1585,Pistol Shrimp,Alpheus heterochaelis,Marine,Least Concern,Great Barrier Reef,-8.9127,52.0484,Coral Reef,20.7,19.6,2000
1593,Ribbon Eel,Rhinomuraena quaesita,Marine,Least Concern,Caribbean Sea,-19.6347,126.9476,Coral Reef,52.8,19.7,2024
1601,Sea Angel,Clione limacina,Marine,Least Concern,Arctic Ocean,85.3923,113.0237,Arctic,392.9,5.2,2022
1609,Wrasse (Napoleon),Cheilinus undulatus,Marine,Endangered,Great Barrier Reef,-26.414,-173.6226,Coral Reef,52.9,28.5,2013
1617,Great White Shark,Carcharodon carcharias,Marine,Vulnerable,Atlantic Ocean,-28.9237,10.7166,Ocean,1005.5,4.3,2012
1625,Killer Whale,Orcinus orca,Marine,Data Deficient,Arctic Ocean,69.6575,27.3377,Ocean,162.6,25.7,2016
